5 80000 300 266
20 20 20 20 20 
19.6811 18.3144 22.9841 21.6173 17.4032 
18.5762 19.7319 24.9403 20.8087 15.943 
16.9713 19.3222 27.6002 21.0426 15.0637 
15.5947 18.0734 30.5062 21.6588 14.1669 
14.637 18.3528 32.1163 21.6784 13.2155 
14.126 18.0966 32.138 22.3416 13.2979 
14.7827 17.8369 32.6961 22.3347 12.3497 
15.1022 17.9546 33.4565 22.3722 11.1146 
16.0511 17.4773 32.9782 22.9361 10.5573 
16.179 15.813 35.6738 22.1395 10.1947 
17.8456 14.8577 35.032 22.1673 10.0974 
17.071 15.4535 33.9358 23.5528 9.98695 
15.0949 15.7713 34.7897 24.4002 9.94397 
13.5193 14.6772 36.2473 25.6661 9.89002 
13.572 14.408 34.9617 27.2289 9.82933 
13.0979 13.3921 35.5502 28.0947 9.86516 
13.0874 13.4909 36.1084 27.3807 9.93258 
14.7154 13.9477 33.8437 27.4022 10.0909 
14.1273 15.0499 33.7864 27.0028 10.0336 
15.0399 16.3344 32.1313 25.6442 10.8501 
15.0957 15.8692 33.4899 25.0696 10.4756 
14.6173 16.0323 33.1974 26.0309 10.1221 
13.8304 14.7794 34.3523 27.0251 10.0127 
12.7688 13.9751 34.3713 28.8784 10.0064 
13.7636 14.2395 34.1068 27.9252 9.96502 
14.2201 12.7167 35.0882 28.0173 9.95763 
14.5974 12.4497 36.4527 26.5721 9.92806 
15.4566 13.067 35.4632 26.0492 9.96403 
16.1682 13.311 34.3556 26.196 9.96923 
15.8161 13.7431 34.0593 26.5 9.88152 
15.0509 14.7533 34.0247 26.3042 9.86687 
14.7574 14.4839 33.7206 27.1172 9.92097 
13.9777 14.8562 33.3578 27.8987 9.90972 
14.1135 13.7894 34.6178 27.5626 9.91669 
13.2602 13.8426 35.299 27.6771 9.92113 
12.5356 13.2205 36.6784 27.6181 9.94744 
15.1599 12.1496 34.2284 28.5321 9.92999 
15.4888 12.107 34.5405 27.939 9.92478 
15.2965 11.9129 35.239 27.6414 9.91031 
15.2113 12.9592 34.2862 27.6862 9.85711 
13.8858 13.9675 33.3267 28.9397 9.88025 
12.9226 13.4723 34.8567 28.8465 9.90196 
13.4057 13.6806 35.4839 27.4788 9.95098 
13.0521 14.1154 33.3504 29.6124 9.86967 
13.2014 14.7802 33.6909 28.4188 9.90866 
13.044 12.287 35.1444 29.6733 9.85124 
12.69 11.7866 34.895 30.7159 9.91249 
13.9293 10.809 36.4082 28.9816 9.87198 
