5 80000 300 266
20 20 20 20 20 
23.4561 21.6147 19.3484 18.0028 17.5779 
21.5778 21.1579 21.7777 18.5173 16.9693 
20.118 21.2708 25.0398 19.5312 14.0402 
20.4757 20.0652 27.6515 17.9893 13.8183 
19.2579 19.3867 28.0796 19.5737 13.702 
17.0614 17.8015 30.7065 21.7238 12.7069 
19.0013 17.9596 31.2356 20.3913 11.4123 
17.4016 18.4137 32.0093 20.8089 11.3665 
17.1676 18.3602 32.7095 20.2442 11.5185 
17.4216 16.8072 32.3354 20.5337 12.9021 
18.0999 15.9828 32.231 21.5791 12.1072 
19.7307 13.9773 34.0733 20.2966 11.9221 
19.0539 13.9099 34.3397 21.8428 10.8537 
19.0056 12.9976 34.2315 23.0067 10.7586 
17.0207 13.8974 33.1062 23.7945 12.1812 
15.9802 13.9366 33.3001 23.825 12.9581 
16.8611 14.9176 32.8943 23.5484 11.7786 
14.5626 13.8267 34.1358 25.8072 11.6676 
14.4242 14.0562 33.8882 26.8437 10.7877 
13.4014 14.5524 32.7208 27.985 11.3405 
13.9255 14.7303 33.1035 27.2952 10.9455 
13.9339 13.495 34.22 27.2293 11.1218 
12.8783 14.7524 32.5041 28.1467 11.7185 
12.7454 13.9077 32.4683 28.2625 12.616 
11.3727 15.2039 32.6091 28.3813 12.433 
12.5209 15.2758 32.2518 27.2602 12.6913 
11.8026 14.9873 32.7524 28.8108 11.6469 
11.4957 14.137 33.0429 30.2562 11.0682 
11.8158 14.9569 33.269 29.0844 10.8739 
11.3036 14.6727 33.4211 29.6501 10.9525 
12.7063 14.5146 33.5422 27.9439 11.2931 
12.057 14.4175 34.2468 28.6564 10.6223 
12.0025 14.0919 33.4871 29.9126 10.5059 
12.3273 14.2235 32.8019 30.4064 10.2408 
11.8675 13.7865 31.3281 32.8003 10.2175 
10.8965 13.9652 31.545 33.0255 10.5678 
11.5197 14.3636 31.8439 31.6318 10.641 
12.1168 13.5388 32.9146 30.6081 10.8217 
13.2711 12.5151 32.1052 30.463 11.6456 
12.7781 11.1716 33.3745 31.9391 10.7368 
12.2714 11.3456 33.599 32.5137 10.2704 
11.7318 11.7555 33.4662 32.9235 10.123 
11.3385 11.226 34.8923 32.1334 10.4098 
11.0498 12.4372 34.6377 31.6835 10.1918 
12.0087 12.0789 34.4012 31.4278 10.0834 
13.6866 11.5082 34.6485 29.6462 10.5105 
13.7878 12.3198 35.8849 27.8281 10.1795 
13.7816 11.6446 35.5445 28.9651 10.0642 
14.5532 11.9262 34.6554 28.8981 9.96718 
15.5876 12.3974 34.2178 27.8539 9.94337 
15.9303 11.1856 34.3005 28.6251 9.95856 
15.202 12.5665 32.8081 29.4441 9.97928 
14.2095 11.8942 34.1098 29.8093 9.97717 
13.5563 11.9024 33.5561 31.0337 9.95137 
13.2833 11.1808 34.7628 30.823 9.95017 
14.304 10.5255 34.6541 30.6063 9.91015 
14.3128 10.1622 34.915 30.7554 9.85457 
14.0442 10.0556 34.1667 31.8318 9.90178 
17.4168 10.6857 33.0044 28.9422 9.95089 
17.5319 10.3301 33.7656 28.4097 9.96266 
19.3128 10.2432 33.5495 26.9653 9.92924 
17.7386 11.6969 33.0761 27.5922 9.89613 
16.7775 11.3332 32.9921 28.9747 9.92255 
14.9162 10.8885 33.9895 30.2837 9.92211 
13.2532 10.7003 34.6498 31.0448 10.3519 
13.3206 10.5414 35.7675 30.0033 10.3672 
12.9277 12.2345 33.9005 30.7398 10.1975 
11.9485 13.2601 32.7666 31.9515 10.0733 
11.3976 13.3761 32.124 33.1715 9.93081 
11.0235 13.0517 32.1659 33.8585 9.90047 
12.385 11.9167 31.9859 33.7756 9.93676 
12.8415 12.0754 33.2802 31.7814 10.0216 
12.5726 12.5822 35.3574 29.5033 9.98461 
12.5533 12.0132 34.7087 30.8279 9.89694 
12.4285 12.4202 33.8465 31.3826 9.92229 
13.2998 13.162 34.1692 29.4613 9.90767 
16.06 11.6372 32.815 29.6183 9.86956 
17.3968 12.151 32.8982 27.7379 9.81605 
17.0317 11.0486 34.0566 27.9819 9.88114 
18.2985 11.3667 32.9251 27.5779 9.83188 
17.3939 11.0025 33.0849 28.6826 9.83615 
16.7791 11.1177 33.3918 28.8618 9.84958 
15.8166 11.1291 34.2025 29.0198 9.83195 
17.2474 11.0243 31.7564 30.1708 9.80103 
17.0052 10.7145 35.3869 27.0796 9.81381 
17.0253 11.7493 33.3184 28.0284 9.8785 
17.7719 11.1453 32.7561 28.4017 9.925 
17.0827 11.1737 31.8152 30.0478 9.88053 
16.0912 11.8547 32.2894 29.8387 9.92602 
17.5557 11.1147 32.7153 28.7522 9.86215 
15.6649 10.7915 32.8866 30.7673 9.88975 
14.6004 10.3681 33.9847 31.1295 9.91725 
14.876 12.2089 31.8684 31.1295 9.9173 
13.7417 13.5543 30.8339 32.0404 9.82971 
14.2731 13.2017 33.5734 29.1487 9.80312 
14.1807 12.2638 33.3613 30.3202 9.87394 
15.3548 11.3661 33.2096 30.1739 9.89565 
14.7608 10.9608 33.6881 30.6425 9.94782 
15.0727 10.51 33.8559 30.7059 9.85557 
15.5965 10.173 33.5946 30.7901 9.84582 
17.1105 9.95758 31.9836 31.1544 9.79397 
17.0323 10.1512 33.6642 29.3703 9.78204 
17.7598 9.97756 31.8181 30.6515 9.79298 
18.6722 10.0333 31.4877 30.0142 9.79263 
18.2216 9.98653 33.2137 28.7119 9.8662 
18.7262 9.87492 33.027 28.5571 9.81475 
20.2135 9.9228 32.9358 27.0352 9.89271 
22.2807 9.88893 32.4099 25.5466 9.87389 
20.3622 9.8436 32.9197 27.0384 9.83608 
20.0077 9.8351 31.4887 28.8371 9.83134 
20.0929 9.81369 33.6969 26.5847 9.81181 
20.0162 9.89174 33.0116 27.1896 9.8908 
19.1249 9.93162 33.1725 27.8398 9.93115 
18.9668 9.82475 32.1035 29.2804 9.82451 
19.4183 9.79837 30.8726 30.1125 9.79825 
17.9674 10.6049 32.2531 29.3205 9.85408 
18.2374 10.2278 31.7982 29.8841 9.85241 
18.7517 10.0069 32.107 29.3152 9.81917 
19.5297 9.92651 31.4381 29.273 9.83266 
18.8854 9.84925 32.6572 28.8059 9.80233 
19.6801 9.82077 32.204 28.4979 9.79731 
19.9591 9.8211 31.2806 29.1299 9.80937 
18.8553 9.79221 31.9125 29.6537 9.78634 
17.4395 9.79225 31.6832 31.2957 9.78931 
18.3583 9.866 30.4501 31.4611 9.86454 
16.6632 10.8247 31.1486 31.4949 9.86857 
16.2862 10.7695 32.2951 30.8448 9.80442 
17.1621 10.2898 31.8121 30.9288 9.80727 
16.0114 10.0985 32.6243 31.4086 9.8572 
17.1233 10.0492 32.4886 30.4102 9.9286 
15.9146 9.92658 32.2574 32.0352 9.86626 
16.2395 9.87126 31.3127 32.7354 9.84111 
16.208 9.93563 31.8328 32.103 9.92055 
18.1986 9.85741 30.112 31.9821 9.84987 
19.2345 10.8409 32.4547 27.6465 9.82358 
19.7458 10.4044 32.626 27.328 9.89571 
20.2388 10.0802 31.7094 28.1457 9.82591 
22.7682 9.95083 31.4797 25.9776 9.82367 
21.4451 9.85346 32.813 26.0986 9.78988 
21.2567 9.82287 33.3205 25.8089 9.79108 
22.671 9.78949 32.6663 25.0996 9.77359 
23.3416 9.75796 32.8985 24.2519 9.75002 
22.9611 10.5241 32.417 24.2227 9.87501 
22.2282 10.2465 31.7848 25.8185 9.92193 
23.9169 9.96754 32.6744 23.6359 9.80525 
24.3379 9.96769 32.4144 23.3935 9.88655 
26.5459 9.93592 30.4244 23.1984 9.89535 
26.5597 9.86307 34.2682 19.4663 9.84278 
27.0937 9.88649 33.2001 19.9434 9.87635 
27.9878 9.91219 33.3703 18.8226 9.90712 
