5 10000 300 33
20 20 20 20 20 
18.1301 25.1423 26.4634 15.2846 14.9797 
15.8497 26.6567 29.5296 15.5331 12.4308 
15.1471 29.8098 28.2833 15.5443 11.2154 
14.9238 32.6908 28.0255 13.7613 10.5986 
14.2416 36.3666 24.606 14.5078 10.2781 
13.4882 40.2083 21.4888 14.7695 10.0451 
12.2751 45.2148 18.5984 13.9113 10.0004 
11.1375 49.7665 16.0037 13.092 10.0002 
12.0281 49.644 13.6239 14.7996 9.90442 
12.0036 49.3012 11.7599 17.0352 9.90012 
12.4451 49.5217 10.7768 17.4094 9.84697 
13.3654 48.2674 10.3235 18.1852 9.85855 
13.4947 46.7495 10.0664 19.8555 9.83391 
12.9287 45.9022 9.97824 21.3289 9.86201 
13.9436 44.0037 9.97527 22.1603 9.91715 
13.7025 43.4304 11.7184 21.245 9.90363 
13.4302 43.4988 11.1224 22.026 9.92258 
13.554 42.4181 11.0323 23.1711 9.82451 
13.4338 42.6588 12.025 22.0885 9.79391 
14.2971 41.446 13.1554 21.2483 9.85322 
15.8053 40.723 13.2941 20.3257 9.85199 
18.5445 38.9426 11.5457 21.1426 9.82464 
19.4261 35.1636 13.3113 22.2636 9.8354 
20.6041 37.0537 11.6062 20.8678 9.86819 
22.892 32.0161 12.9973 22.3044 9.79021 
23.946 29.508 14.6653 21.9855 9.89511 
25.5931 29.6286 14.8595 20.1325 9.78626 
25.6255 26.6564 17.2982 20.5926 9.82734 
26.1573 28.0241 13.5477 22.4585 9.81232 
26.9884 28.6737 12.225 22.3195 9.79338 
26.6864 29.8092 13.2786 20.4431 9.78268 
26.9053 29.9373 13.0119 20.3523 9.7933 
27.665 30.7221 11.9854 19.7652 9.8624 
20 20 20 20 20 
16.4626 26.4399 23.4921 17.483 16.1224 
15.6233 27.3396 29.2709 14.7216 13.0446 
16.0319 30.1856 28.9643 13.3185 11.4997 
17.7609 32.4881 26.2308 12.8524 10.6679 
15.8805 36.644 24.6154 12.5262 10.3339 
13.9288 40.5654 23.5244 11.8715 10.1099 
12.6166 41.4783 22.7405 13.1096 10.055 
11.2967 44.173 19.7229 14.7915 10.0159 
12.9654 45.1218 15.688 16.3388 9.88599 
12.7484 46.621 12.7312 18.0692 9.83021 
13.3797 46.6622 11.5854 18.5126 9.86016 
13.4718 47.4002 10.7129 18.5648 9.85029 
14.1827 43.9129 10.5426 21.5164 9.84536 
12.5689 44.4284 10.7488 22.4155 9.83841 
12.4839 43.1037 10.3609 24.1458 9.90573 
14.0908 41.9007 10.1223 23.9915 9.89472 
14.1477 39.8424 10.743 25.348 9.91895 
16.0334 40.0079 10.2848 23.8012 9.87277 
18.5196 38.643 10.6158 22.4035 9.81804 
19.2898 38.6329 10.5474 21.6808 9.84914 
19.8088 38.6607 11.3393 20.3486 9.8426 
20.5962 37.4121 11.8017 20.3944 9.79552 
22.8394 36.8579 11.0164 19.4381 9.84825 
25.2128 33.6327 12.4047 18.9667 9.78306 
25.9397 33.0068 11.123 20.1183 9.81217 
25.8363 35.0702 11.5876 17.7139 9.79208 
27.5563 32.6667 11.5504 18.3964 9.83025 
27.5537 35.381 11.2174 16.0009 9.8471 
28.4373 35.5917 11.4729 14.6363 9.86182 
27.1874 35.7646 11.2052 15.9119 9.93091 
29.2289 33.3546 11.6287 15.9364 9.85145 
30.4291 33.2907 12.8431 13.5593 9.8778 
29.9111 32.6198 11.8529 15.7253 9.89098 
20 20 20 20 20 
17.7283 22.6464 21.3583 22.6464 15.6206 
16.5413 27.1696 20.5217 21.8547 13.9127 
18.4725 29.5041 19.1173 21.017 11.8891 
16.2709 33.0421 17.6756 22.0886 10.9229 
14.6471 34.8931 17.675 22.3234 10.4614 
12.4517 37.8526 16.9572 21.7386 11 
11.192 41.8382 15.9278 20.5759 10.4661 
11.5112 43.1289 16.6692 18.5469 10.1438 
11.4895 44.6149 17.6236 16.2688 10.0031 
10.7231 46.2252 15.63 17.4418 9.97989 
10.6884 49.1417 12.7787 17.4376 9.95363 
11.1182 49.018 11.3033 18.6697 9.89082 
11.4717 47.7738 10.536 20.3888 9.82973 
13.3982 45.5752 10.2031 20.9736 9.84993 
12.9491 46.0434 10.0434 21.0973 9.86682 
13.0837 45.5792 9.90675 21.6119 9.81847 
14.1713 44.1792 9.85801 21.9776 9.81387 
14.9879 43.785 10.6761 20.7589 9.79199 
15.0149 42.6446 10.2127 22.3572 9.77065 
17.4463 41.5058 9.99932 21.2703 9.77829 
